iter	MultiClass	WKappa
0	1.541845769	0.3845402873
1	1.40487781	0.4304499207
2	1.354788041	0.4782444026
3	1.32138967	0.4886684556
4	1.3034784	0.5092608164
5	1.273560995	0.5124629908
6	1.258185665	0.5144015946
7	1.243104767	0.5242419465
8	1.233410157	0.5331744906
9	1.225989383	0.5353181761
10	1.217043458	0.5374073846
11	1.209270041	0.5409024049
12	1.203538107	0.5433271654
13	1.199765997	0.5450908468
14	1.194318229	0.5480804189
15	1.188797877	0.5516181012
16	1.180208316	0.5525544238
17	1.176262759	0.5546428489
18	1.173531401	0.5582696229
19	1.169083173	0.5611062719
20	1.15784414	0.5584870403
21	1.152882678	0.5591837029
22	1.147526261	0.5599708108
23	1.140627951	0.5598719101
24	1.137115117	0.5604135695
25	1.13286878	0.5642394148
26	1.129536642	0.5639432821
27	1.124895634	0.5679200048
28	1.119387571	0.5710034493
29	1.115956873	0.5722261919
30	1.113582299	0.5723719885
31	1.111401373	0.5744197439
32	1.107914543	0.5760321405
33	1.104424691	0.5778093724
34	1.102089475	0.5793453602
35	1.098476792	0.5805979353
36	1.095030832	0.5810285244
37	1.09099423	0.5820349427
38	1.087709245	0.5838873355
39	1.085120202	0.5847706777
40	1.082952495	0.5874112165
41	1.08051965	0.5886875554
42	1.078943366	0.5893021376
43	1.076507704	0.5912450918
44	1.075113131	0.5927719371
45	1.073518181	0.5926616175
46	1.070890622	0.5929598526
47	1.068116942	0.5954665423
48	1.066780368	0.5960425638
49	1.064849131	0.5970824332
50	1.061953824	0.5977266421
51	1.059206944	0.5989154223
52	1.056390141	0.60084933
53	1.053454958	0.6009755638
54	1.0518158	0.6037364416
55	1.049370525	0.603893239
56	1.04673534	0.6055043484
57	1.045076037	0.6065427928
58	1.04274601	0.6068714855
59	1.039945318	0.6059581588
60	1.038183608	0.6076606546
61	1.036732032	0.6078815564
62	1.03471405	0.6083870314
63	1.032434566	0.6096973344
64	1.03078698	0.6107756
65	1.029658819	0.6121186606
66	1.02759479	0.6132564716
67	1.025581183	0.6148945045
68	1.024143355	0.6150004549
69	1.021933193	0.6156846404
70	1.019560531	0.6185225963
71	1.017438371	0.6200726519
72	1.016636675	0.6200394384
73	1.016555702	0.6201134439
74	1.013256847	0.6205479312
75	1.011496004	0.6217991014
76	1.010386369	0.6217109853
77	1.008189463	0.6232458092
78	1.00608509	0.6241328464
79	1.004784051	0.6244746709
80	1.001716893	0.6256400279
81	0.9999810416	0.6280565484
82	0.9987729845	0.6280223682
83	0.9968623032	0.6298939653
84	0.9940883605	0.6308414073
85	0.9912447614	0.6305434932
86	0.989157647	0.6304240075
87	0.9891288445	0.6308244905
88	0.9873680848	0.6319185676
89	0.9864521164	0.6323389302
90	0.9839222727	0.6335230227
91	0.9820596085	0.6345832003
92	0.9792872483	0.6354991535
93	0.9766987936	0.6370558568
94	0.975070209	0.6373476273
95	0.973434045	0.6372216756
96	0.9734082478	0.6371947272
97	0.9714782592	0.6398168164
98	0.9701470932	0.6395307945
99	0.967968789	0.6397608641
